MD,imp,por
259.027,3944.06,0.4262
263.026,3944.06,0.4262
267.027,3944.06,0.4262
271.03,3944.06,0.4262
275.033,3944.06,0.4262
279.039,3944.06,0.4262
283.046,3944.06,0.4262
287.055,3944.06,0.4262
291.065,3944.06,0.4262
295.077,3944.06,0.4262
299.091,3944.06,0.4262
303.106,3944.06,0.4262
307.044,3944.06,0.4262
310.915,3944.06,0.4262
314.788,3944.06,0.4262
318.702,3944.06,0.4262
322.626,3944.06,0.4262
326.521,3944.06,0.4262
330.365,3944.06,0.4262
334.206,3944.06,0.4262
338.078,3944.06,0.4262
341.917,3944.06,0.4262
345.747,3944.06,0.4262
349.706,3944.06,0.4262
353.85,3944.06,0.4262
358.088,3944.06,0.4262
362.212,3944.06,0.4262
366.196,3944.06,0.4262
370.122,3944.06,0.4262
374.006,3944.06,0.4262
377.899,3944.06,0.4262
381.763,3944.06,0.4262
385.594,3944.06,0.4262
389.453,3944.06,0.4262
393.382,3944.06,0.4262
397.339,3944.06,0.4262
401.281,3944.06,0.4262
405.173,3944.06,0.4262
409.122,3944.06,0.4262
413.09,3944.06,0.4262
417.11,3944.06,0.4262
421.176,3944.06,0.4262
425.241,3944.06,0.4262
429.295,3944.06,0.4262
433.399,3944.06,0.4262
437.411,3944.06,0.4262
441.322,3944.06,0.4262
445.172,3944.06,0.4262
449.174,3944.06,0.4262
453.105,3944.06,0.4262
456.984,3944.06,0.4262
460.84,3944.06,0.4262
464.714,3944.06,0.4262
468.253,3944.06,0.4262
471.552,3944.06,0.4262
474.641,3944.06,0.4262
477.742,3944.06,0.4262
480.913,3944.06,0.4262
484.264,3944.06,0.4262
487.457,3944.06,0.4262
490.615,3944.06,0.4262
493.809,3944.06,0.4262
497.132,3944.06,0.4262
500.53,3944.06,0.4262
503.921,3944.06,0.4262
507.695,3944.06,0.4262
511.525,3944.06,0.4262
515.161,3944.06,0.4262
518.382,3944.06,0.4262
521.663,3944.06,0.4262
525.006,3944.06,0.4262
528.096,3944.06,0.4262
531.237,3944.06,0.4262
534.46,3944.06,0.4262
538.136,3944.06,0.4262
541.94,3944.06,0.4262
545.79,4060.5,0.4383
549.669,4081.84,0.3612
553.574,3503.01,0.3346
557.391,4042.8,0.3838
561.165,5178.4,0.4139
564.957,4522.69,0.3815
568.768,4273.84,0.4173
572.534,5218.33,0.3762
576.283,4793.39,0.3609
580.038,3713.87,0.366
583.833,4244.1,0.3365
587.632,4938.48,0.3573
591.377,4282.56,0.3505
595.03,4264.84,0.4758
598.639,4404.82,0.552
602.377,4314.83,0.437
606.211,4305.17,0.6524
610.088,5178.96,0.3361
614.042,5135.9,0.5715
617.686,3894.6,0.5098
621.307,3773.72,0.4089
625.078,3756.1,0.5129
629.082,3451.68,0.414
633.165,3791.02,0.4274
637.296,4657.5,0.4285
641.489,4168.23,0.3814
645.788,3346.85,0.3404
650.204,3620.42,0.3932
654.446,4094.5,0.3516
658.762,3594.51,0.3622
663.076,3381.47,0.3564
667.443,3421.67,0.3195
671.757,3841.0,0.3307
675.933,4507.24,0.344
680.104,5056.14,0.3338
684.028,4360.04,0.335
687.644,3882.16,0.335
691.17,4573.36,0.365
694.719,5138.18,0.3671
698.281,4851.22,0.3695
701.907,4925.92,0.3715
705.593,4943.52,0.3427
709.279,4194.81,0.3352
712.964,4053.04,0.3083
716.605,4497.39,0.3479
720.188,4439.82,0.3239
723.726,4176.13,0.3354
727.263,4238.95,0.3375
730.801,4195.61,0.3403
734.339,3594.98,0.3327
737.877,3918.17,0.3288
741.414,4189.23,0.3168
744.952,3418.35,0.2965
748.588,3325.31,0.3127
752.378,3933.47,0.3185
756.267,3675.25,0.296
760.168,3283.04,0.2649
764.356,4114.48,0.258
768.421,4817.13,0.2679
772.472,4437.31,0.2431
776.507,4157.31,0.2596
780.528,4158.73,0.2766
784.699,4383.98,0.2372
788.955,4649.57,0.2364
793.12,4644.68,0.2496
797.151,4197.29,0.2584
801.129,4177.04,0.2536
805.184,4152.94,0.2488
809.158,3781.55,0.2443
813.142,4824.41,0.2305
817.147,6736.8,0.2334
821.166,5902.43,0.2483
825.173,4656.95,0.2679
829.113,5049.66,0.2506
833.023,5352.11,0.2675
836.918,4720.76,0.2593
840.811,4765.94,0.2495
844.732,5447.11,0.26
848.635,5703.18,0.2674
852.485,5452.78,0.2707
856.299,4727.22,0.2551
860.093,4345.56,0.2642
863.83,4609.6,0.2722
867.541,4977.07,0.2779
871.261,4415.36,0.2683
875.025,3828.56,0.2622
878.801,4137.22,0.2747
882.548,4166.51,0.2771
886.291,3804.43,0.2706
890.049,3783.77,0.2515
893.701,3920.63,0.2875
897.408,4153.75,0.28
901.157,4291.29,0.2665
904.937,4401.77,0.2816
908.671,4474.46,0.2538
912.437,4530.0,0.2848
916.215,4760.65,0.2625
919.979,4743.54,0.2699
923.631,4720.83,0.284
927.3,5180.29,0.2816
931.011,5492.48,0.2855
934.814,5455.57,0.2355
938.736,5439.53,0.2979
942.685,5050.94,0.2445
946.651,4694.77,0.2597
950.628,5037.65,0.2817
954.617,5099.43,0.2804
958.577,4297.3,0.2587
962.538,4252.65,0.2489
966.488,5318.81,0.2486
970.408,5736.78,0.2615
974.235,5205.7,0.2478
978.175,5132.65,0.2442
982.179,5064.35,0.2383
986.22,4936.48,0.2363
990.274,5193.14,0.2658
994.327,5230.55,0.2631
998.439,4907.21,0.2563
1002.519,5065.58,0.2712
1006.571,5734.55,0.2472
1010.614,4898.69,0.2408
1014.609,4570.98,0.2577
1018.577,5401.8,0.2692
1022.494,5114.13,0.265
1026.616,4020.95,0.2555
1031.202,4716.01,0.2574
1035.934,6017.03,0.2474
1040.719,5474.22,0.2493
1045.444,5454.66,0.3387
1049.896,5539.71,0.2924
1054.366,5395.48,0.2194
1059.114,5342.97,0.2463
1063.935,6278.91,0.251
1068.913,5997.97,0.2253
1074.571,5368.5,0.2533
1080.113,6502.27,0.2396
1085.681,6153.03,0.2648
1091.256,3915.41,0.2199
1096.871,3808.65,0.265
1102.486,4795.05,0.2567
1107.847,4403.25,0.3202
1112.986,3779.86,0.3324
1118.048,4619.25,0.3257
1123.108,5181.04,0.2973
1128.174,4609.99,0.3391
1133.403,4647.76,0.2429
1138.624,4700.4,0.2785
1144.035,4674.77,0.2264
1149.457,4919.46,0.2755
1154.885,5332.62,0.2444
1160.507,5236.75,0.2628
1166.191,5139.55,0.2309
1171.818,5559.78,0.2413
1177.255,5533.83,0.2448
1182.296,4905.3,0.2594
1186.971,5210.35,0.3018
1191.508,5245.39,0.2921
1195.966,4903.5,0.3045
1200.386,4899.55,0.3002
1204.793,4887.07,0.3096
1209.334,4849.33,0.3093
1213.959,4831.33,0.3666
1218.562,5345.65,0.3473
1223.176,5029.12,0.3769
1227.753,4450.61,0.3419
1232.319,4798.42,0.3302
1237.019,5172.4,0.356
1241.866,5018.49,0.375
1246.563,4933.78,0.3241
1251.062,4970.54,0.358
1255.615,4952.39,0.3433
1260.058,4486.98,0.3508
1264.543,4537.27,0.3793
1269.13,5251.54,0.3286
1273.857,5656.39,0.353
1278.331,5469.84,0.3933
1282.816,5426.81,0.4117
1287.054,5426.81,0.4117
1291.004,5426.81,0.4117
1294.94,5426.81,0.4117
1298.871,5426.81,0.4117
1302.898,5426.81,0.4117
1306.968,5426.81,0.4117
1311.038,5426.81,0.4117
1315.094,5426.81,0.4117
1319.3,5426.81,0.4117
1323.57,5426.81,0.4117
1327.825,5426.81,0.4117
