MD,imp,por
404.5,4024.83,0.3704
405.0,4024.83,0.3725
405.5,4024.83,0.3776
406.0,4024.83,0.3742
406.5,4026.15,0.3742
407.0,4028.34,0.3621
407.5,4030.54,0.3524
408.0,4032.73,0.3545
408.5,4034.92,0.3509
409.0,4037.11,0.3406
409.5,4039.3,0.35
410.0,4041.61,0.3357
410.5,4045.25,0.3423
411.0,4048.9,0.3593
411.5,4052.54,0.3595
412.0,4056.18,0.3808
412.5,4059.83,0.3722
413.0,4063.47,0.3571
413.5,4067.11,0.3638
414.0,4066.84,0.3422
414.5,4063.43,0.3366
415.0,4060.03,0.3587
415.5,4056.62,0.3648
416.0,4053.22,0.3695
416.5,4049.82,0.3664
417.0,4046.41,0.3598
417.5,4043.08,0.3609
418.0,4041.83,0.3612
418.5,4040.57,0.3687
419.0,4039.32,0.3577
419.5,4038.06,0.3551
420.0,4036.81,0.3546
420.5,4035.56,0.3616
421.0,4034.3,0.3611
421.5,4035.19,0.3545
422.0,4038.16,0.3586
422.5,4041.13,0.3561
423.0,4044.1,0.3544
423.5,4047.07,0.3485
424.0,4050.04,0.3585
424.5,4053.01,0.3309
425.0,4055.98,0.316
425.5,4044.93,0.3359
426.0,4033.65,0.3336
426.5,4022.38,0.4243
427.0,4011.11,0.3508
427.5,3999.84,0.3308
428.0,3988.56,0.3289
428.5,3977.29,0.3912
429.0,3961.48,0.3751
429.5,3940.35,0.3635
430.0,3919.21,0.37
430.5,3898.08,0.3695
431.0,3876.95,0.3761
431.5,3855.81,0.3775
432.0,3834.68,0.3732
432.5,3813.55,0.3712
433.0,3803.13,0.3773
433.5,3793.44,0.3744
434.0,3783.75,0.3821
434.5,3774.07,0.3919
435.0,3764.38,0.3755
435.5,3754.69,0.3826
436.0,3745.0,0.419
436.5,3733.79,0.423
437.0,3720.41,0.4023
437.5,3707.03,0.4242
438.0,3693.65,0.424
438.5,3680.27,0.3845
439.0,3666.89,0.3997
439.5,3653.51,0.3678
440.0,3640.13,0.3595
440.5,3624.68,0.3651
441.0,3608.98,0.3399
441.5,3593.28,0.3552
442.0,3577.57,0.3376
442.5,3561.87,0.34
443.0,3546.16,0.3419
443.5,3530.46,0.3471
444.0,3533.44,0.3568
444.5,3569.0,0.3674
445.0,3604.57,0.3654
445.5,3640.13,0.3541
446.0,3675.69,0.362
446.5,3711.25,0.3648
447.0,3746.81,0.3906
447.5,3782.37,0.3853
448.0,3857.09,0.3795
448.5,3939.23,0.3795
449.0,4021.37,0.3933
